settlement-id	settlement-start-date	settlement-end-date	deposit-date	total-amount	currency	transaction-type	order-id	merchant-order-id	adjustment-id	shipment-id	marketplace-name	amount-type	amount-description	amount	fulfillment-id	posted-date	posted-date-time	order-item-code	merchant-order-item-id	merchant-adjustment-item-id	sku	quantity-purchased	promotion-id
13009930262						Order	202-5662381-1897918	202-5662381-1897918		DXwsMTkWL	Amazon.co.uk	ItemFees	FBAPerUnitFulfillmentFee	-5.05	AFN	11.03.2020	11.03.2020 14:55:46 UTC	09967236742603			Rofee Kitchen	1	
13009930262						Order	202-5662381-1897918	202-5662381-1897918		DXwsMTkWL	Amazon.co.uk	ItemFees	Commission	-6.36	AFN	11.03.2020	11.03.2020 14:55:46 UTC	09967236742603			Rofee Kitchen	1	
13009930262						Refund	203-4500555-8857138	203-4500555-8857138	amzn1:crow:uUgUPo6vSQGg1UBHVrGcHg		Amazon.co.uk	ItemPrice	Tax	-3.33	AFN	07.03.2020	07.03.2020 13:58:58 UTC	59723330385235		174631647526	mb109-a1706-coeudc1		
13009930262						Refund	203-4500555-8857138	203-4500555-8857138	amzn1:crow:uUgUPo6vSQGg1UBHVrGcHg		Amazon.co.uk	ItemPrice	Principal	-16.66	AFN	07.03.2020	07.03.2020 13:58:58 UTC	59723330385235		174631647526	mb109-a1706-coeudc1		
13009930262						Refund	203-4500555-8857138	203-4500555-8857138	amzn1:crow:uUgUPo6vSQGg1UBHVrGcHg		Amazon.co.uk	ItemFees	Commission	2.40	AFN	07.03.2020	07.03.2020 13:58:58 UTC	59723330385235		174631647526	mb109-a1706-coeudc1		
13009930262						Refund	203-4500555-8857138	203-4500555-8857138	amzn1:crow:uUgUPo6vSQGg1UBHVrGcHg		Amazon.co.uk	ItemFees	RefundCommission	-0.48	AFN	07.03.2020	07.03.2020 13:58:58 UTC	59723330385235		174631647526	mb109-a1706-coeudc1		
13009930262						other-transaction						other-transaction	Subscription Fee	-13.01		05.03.2020	05.03.2020 14:13:28 UTC						
13009930262						other-transaction						other-transaction	Storage Fee	-7.16		07.03.2020	07.03.2020 09:21:54 UTC						
13009930262						other-transaction	xk2dmbF298					other-transaction	DisposalComplete	-0.50		01.03.2020	01.03.2020 21:39:00 UTC						
13009930262						other-transaction						other-transaction	Previous Reserve Amount Balance	264.17		01.03.2020	01.03.2020 12:49:29 UTC						
13009930262						other-transaction						other-transaction	Current Reserve Amount	-434.48		15.03.2020	15.03.2020 12:46:49 UTC						
13009930262						ServiceFee						Cost of Advertising	TransactionTotalAmount	-126.89		02.03.2020	02.03.2020 03:17:22 UTC						
