settlement-id	settlement-start-date	settlement-end-date	deposit-date	total-amount	currency	transaction-type	order-id	merchant-order-id	adjustment-id	shipment-id	marketplace-name	amount-type	amount-description	amount	fulfillment-id	posted-date	posted-date-time	order-item-code	merchant-order-item-id	merchant-adjustment-item-id	sku	quantity-purchased
13074347912						Order	202-8882070-0518710	202-8882070-0518710		DNTLH9cwM	Amazon.co.uk	ItemPrice	Tax	3.00	AFN	28.03.2020	28.03.2020 20:05:50 UTC	44473911629731			mb003-a1706-coeudc1	1
13074347912						Order	202-8882070-0518710	202-8882070-0518710		DNTLH9cwM	Amazon.co.uk	ItemFees	FBAPerUnitFulfillmentFee	-2.14	AFN	28.03.2020	28.03.2020 20:05:50 UTC	44473911629731			mb003-a1706-coeudc1	1
13074347912						Order	202-8882070-0518710	202-8882070-0518710		DNTLH9cwM	Amazon.co.uk	ItemFees	Commission	-2.16	AFN	28.03.2020	28.03.2020 20:05:50 UTC	44473911629731			mb003-a1706-coeudc1	1
13074347912						Refund	204-3869283-4293128	204-3869283-4293128	amzn1:crow:3Im2Huq8TA28TzUgHUEh4w		Amazon.co.uk	ItemPrice	Tax	-8.83	AFN	17.03.2020	17.03.2020 13:34:25 UTC	03550688668539		80691593811	Rofee Kitchen	
13074347912						Refund	204-3869283-4293128	204-3869283-4293128	amzn1:crow:3Im2Huq8TA28TzUgHUEh4w		Amazon.co.uk	ItemPrice	Principal	-44.16	AFN	17.03.2020	17.03.2020 13:34:25 UTC	03550688668539		80691593811	Rofee Kitchen	
13074347912						Refund	204-3869283-4293128	204-3869283-4293128	amzn1:crow:3Im2Huq8TA28TzUgHUEh4w		Amazon.co.uk	ItemFees	Commission	6.36	AFN	17.03.2020	17.03.2020 13:34:25 UTC	03550688668539		80691593811	Rofee Kitchen	
13074347912						Refund	204-3869283-4293128	204-3869283-4293128	amzn1:crow:3Im2Huq8TA28TzUgHUEh4w		Amazon.co.uk	ItemFees	RefundCommission	-1.27	AFN	17.03.2020	17.03.2020 13:34:25 UTC	03550688668539		80691593811	Rofee Kitchen	
13074347912						Refund	203-6146189-5084331	203-6146189-5084331	amzn1:crow:Xsg06J3TRZ2FwIik1DC6Kg		Amazon.co.uk	ItemPrice	Tax	-3.33	AFN	16.03.2020	16.03.2020 17:25:32 UTC	53486758514395		179906470526	mb016-a1707-coeudc1	
13074347912						Refund	203-6146189-5084331	203-6146189-5084331	amzn1:crow:Xsg06J3TRZ2FwIik1DC6Kg		Amazon.co.uk	ItemPrice	Principal	-16.66	AFN	16.03.2020	16.03.2020 17:25:32 UTC	53486758514395		179906470526	mb016-a1707-coeudc1	
13074347912						Refund	203-6146189-5084331	203-6146189-5084331	amzn1:crow:Xsg06J3TRZ2FwIik1DC6Kg		Amazon.co.uk	ItemFees	Commission	2.40	AFN	16.03.2020	16.03.2020 17:25:32 UTC	53486758514395		179906470526	mb016-a1707-coeudc1	
13074347912						Refund	203-6146189-5084331	203-6146189-5084331	amzn1:crow:Xsg06J3TRZ2FwIik1DC6Kg		Amazon.co.uk	ItemFees	RefundCommission	-0.48	AFN	16.03.2020	16.03.2020 17:25:32 UTC	53486758514395		179906470526	mb016-a1707-coeudc1	
13074347912						Refund	205-1073995-6345122	205-1073995-6345122	amzn1:crow:r+3TNQGfQNOGpFz7+S/Tbg		Amazon.co.uk	ItemPrice	Tax	-7.67	AFN	28.03.2020	28.03.2020 10:56:38 UTC	24825889395011		79015402811	Rofee Kitchen	
13074347912						Refund	205-1073995-6345122	205-1073995-6345122	amzn1:crow:r+3TNQGfQNOGpFz7+S/Tbg		Amazon.co.uk	ItemPrice	Principal	-38.32	AFN	28.03.2020	28.03.2020 10:56:38 UTC	24825889395011		79015402811	Rofee Kitchen	
13074347912						Refund	205-1073995-6345122	205-1073995-6345122	amzn1:crow:r+3TNQGfQNOGpFz7+S/Tbg		Amazon.co.uk	ItemFees	Commission	5.52	AFN	28.03.2020	28.03.2020 10:56:38 UTC	24825889395011		79015402811	Rofee Kitchen	
13074347912						Refund	205-1073995-6345122	205-1073995-6345122	amzn1:crow:r+3TNQGfQNOGpFz7+S/Tbg		Amazon.co.uk	ItemFees	RefundCommission	-1.10	AFN	28.03.2020	28.03.2020 10:56:38 UTC	24825889395011		79015402811	Rofee Kitchen	
13074347912						Refund	026-7292957-8684334	026-7292957-8684334	amzn1:crow:Kw9OnnioRp6NCkq4apWRbQ		Amazon.co.uk	ItemPrice	Tax	-3.33	AFN	20.03.2020	20.03.2020 02:20:30 UTC	01643104720771		72777824552	mb016-a1708-coeudc1	
13074347912						Refund	026-7292957-8684334	026-7292957-8684334	amzn1:crow:Kw9OnnioRp6NCkq4apWRbQ		Amazon.co.uk	ItemPrice	Principal	-16.66	AFN	20.03.2020	20.03.2020 02:20:30 UTC	01643104720771		72777824552	mb016-a1708-coeudc1	
13074347912						Refund	026-7292957-8684334	026-7292957-8684334	amzn1:crow:Kw9OnnioRp6NCkq4apWRbQ		Amazon.co.uk	ItemFees	Commission	2.40	AFN	20.03.2020	20.03.2020 02:20:30 UTC	01643104720771		72777824552	mb016-a1708-coeudc1	
13074347912						Refund	026-7292957-8684334	026-7292957-8684334	amzn1:crow:Kw9OnnioRp6NCkq4apWRbQ		Amazon.co.uk	ItemFees	RefundCommission	-0.48	AFN	20.03.2020	20.03.2020 02:20:30 UTC	01643104720771		72777824552	mb016-a1708-coeudc1	
13074347912						other-transaction						other-transaction	StorageRenewalBilling	-26.49		21.03.2020	21.03.2020 08:44:45 UTC					
13074347912						other-transaction						other-transaction	Previous Reserve Amount Balance	434.48		15.03.2020	15.03.2020 12:46:49 UTC					
13074347912						other-transaction						other-transaction	Current Reserve Amount	-304.38		29.03.2020	29.03.2020 12:47:00 UTC					
13074347912						other-transaction						FBA Inventory Reimbursement	WAREHOUSE_DAMAGE	18.23		28.03.2020	28.03.2020 03:42:34 UTC				SW-HH8M-K23D	1
13074347912					GBP	SellerReviewEnrollmentPayment		ef20cb21-c675-472f-9b74-297c70bb2954			Amazon.co.uk	Review Enrollment Fee	Early Reviewer Program fee	-60.00		20.03.2020	20.03.2020 22:48:27 UTC					
13074347912						ServiceFee						Cost of Advertising	TransactionTotalAmount	-240.41		22.03.2020	22.03.2020 21:00:12 UTC					
